Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Lost,ADC,8,75%,4.7,3.6,1.8,4.6,8.4,411,59.90%,22.2,440,1.34,0.49,0.35,0.19,-64,-6,-24,25%,13%,0,2
Neo,ADC,10,30%,3,3.5,2.7,4.6,8.5,396,73.60%,27.2,446,1.06,0.5,0.26,0.27,221,-6,-23,30%,0%,0,1
Palafox,MID,10,30.00%,2.4,2.3,2.5,3.7,7.6,353,63.20%,23.5,400,1.12,0.54,0.17,0.24,-480,-5,-100,10.00%,10%,0,3
Perkz,MID,10,50%,3.4,4.1,2.8,5.4,8.3,407,68.70%,25,488,1.24,0.43,0.36,0.15,452,-2,-171,50%,0%,0,4
Pobelter,MID,10,40%,3.3,2.3,2.6,6.3,8.4,372,62.80%,21.2,386,1.05,0.44,0.23,0.19,-52,-5,-88,20%,0%,0,1
PowerOfEvil,MID,10,80%,6.5,3.1,1.5,6.7,8.4,393,70.40%,29.1,551,1.2,0.45,0.24,0.18,-573,-2,-137,20%,0%,0,4
Pretty,MID,1,0%,1,0,4,4,8.3,322,50.00%,25.5,437,1.19,0.38,0.16,0.09,-414,9,461,0%,0%,0,-
Raes,ADC,10,60%,3.9,4.9,2.3,4.1,9.7,458,71.70%,29.4,525,1.36,0.51,0.39,0.16,658,2,-178,30%,30%,0,2
Revenge,TOP,10,60.00%,3.8,2.4,2,5.2,8,387,56.00%,21.6,374,1.31,0.5,0.22,0.28,-114,-2,-106,20.00%,0.00%,0,2
Santorin,JUNGLE,9,56%,3.4,3.4,3.3,8,5.7,336,75%,17.4,416,1.77,0.68,0.34,0.32,225,6,185,44%,0%,0,1
Smoothie,SUPPORT,10,40%,3.2,0.9,2.9,8.4,1,221,71.00%,7.3,131,2.77,1.68,0.35,0.57,-244,-4,-214,30%,20%,0,-
Soligo,MID,3,67%,7.7,3,1,4.7,6.7,346,44%,22.1,449,0.87,0.45,0.19,0.24,-1203,-25,-534,33%,0%,0,-
Spica,JUNGLE,10,80%,5.5,3.6,1.7,5.7,5.7,349,76%,16.6,337,1.45,0.37,0.42,0.33,28,-2,-22,50%,0%,0,-
Stixxay,ADC,10,30%,2.6,2.7,2.5,3.9,8.8,388,54.50%,26.1,492,1.13,0.37,0.31,0.14,-585,-7,-47,20%,0%,0,-
Svenskeren,JUNGLE,10,40%,2.7,2.2,3.5,7.1,5.7,324,61.80%,18.2,389,1.6,0.38,0.4,0.28,9,0,-172,10%,30%,0,1
SwordArt,ADC,2,100%,2.8,0.5,2,5,6.1,313,37.50%,4.3,81,1.24,0.53,0.3,0.28,-728,-30,-202,0%,0%,0,-
SwordArt,SUPPORT,8,75%,4.6,0.3,2.1,9.5,1.1,231,72%,6.5,132,2.71,1.58,0.31,0.48,-147,3,-370,0%,0%,0,-
Tactical,ADC,10,60%,4.4,5.2,2.5,5.9,9.3,438,74.40%,34.6,815,1.17,0.47,0.39,0.15,180,8,-11,0%,40%,0,3
Vulcan,ADC,1,100%,-,1,0,9,6.8,372,55.60%,10.8,247,0.84,0.35,0,0.22,502,-12,124,0%,0%,0,-
Vulcan,SUPPORT,9,44.40%,2.6,0.2,3,7.7,1.1,222,61.70%,8,156,2.48,1.51,0.3,0.54,-285,0,-139,33.30%,11.10%,0,-
WildTurtle,ADC,10,40%,4.2,3.6,2.1,5.3,9.6,430,65.70%,26.4,473,1.44,0.59,0.32,0.16,75,4,224,10%,10%,0,2
Xerxe,JUNGLE,10,60%,7.2,2.6,1.3,6.7,5.7,336,72.20%,20.3,354,1.76,0.73,0.36,0.3,-149,-4,-258,30%,10%,0,-
Yusui,MID,7,14.30%,3,2.3,1.9,3.3,8.2,353,59.30%,20.6,287,1.02,0.46,0.21,0.2,-444,-8,-245,0%,0%,0,1
Zven,ADC,1,100%,8,0,1,8,9.3,388,53.30%,20.9,432,1.38,0.39,0.51,0.13,-57,-3,-219,0%,0%,0,-
k1ng,SUPPORT,1,100%,-,4,0,5,1.2,352,50%,14.5,330,1.5,0.75,0.22,0.04,1420,9,1060,0%,0%,0,-
k1ng,ADC,8,37.50%,5.1,3.1,1.5,4.5,9,399,58.80%,28.7,543,1.03,0.37,0.29,0.09,-627,6,-175,0%,12.50%,0,-
solo,TOP,10,30%,1.5,1.5,4,4.5,7.7,350,58.90%,22.4,407,1.19,0.5,0.23,0.18,-104,1,57,10%,30%,0,2
ssumday,TOP,10,80%,3.5,2.5,2.2,5.1,8,395,50.10%,22.5,432,1.18,0.47,0.23,0.24,17,2,30,30%,20%,0,2
